Accession	Target of assay	Filename	Date released	Date submitted
ENCSR924LSO	E2F4	ENCFF245XOL	2020-07-08	2018-05-22
ENCSR639UKJ	MLLT10	ENCFF748SGP	2020-07-08	2018-05-22
ENCSR552YWL	KLF12	ENCFF124UUN	2020-07-08	2018-05-22
ENCSR929IMB	AKNA	ENCFF411GOS	2020-07-08	2018-05-22
ENCSR998YJI	ZNF503	ENCFF622FUC	2020-07-08	2018-05-22
ENCSR956OSX	ONECUT1	ENCFF919ZSN	2020-07-08	2018-05-22
ENCSR124APT	NFYA	ENCFF166QJY	2020-07-08	2018-05-22
ENCSR310OZS	NR5A1	ENCFF510SAT	2020-07-08	2018-05-22
ENCSR949OEV	ZFY	ENCFF291LHW	2020-07-08	2018-05-22
ENCSR313MMD	ZNF263	ENCFF927JRS	2020-07-08	2018-05-22
ENCSR701WPG	ZNF800	ENCFF618NTX	2020-07-08	2018-05-21
ENCSR981BHT	ADNP	ENCFF162UZN	2020-07-08	2018-05-21
ENCSR398TMP	MYNN	ENCFF048GXO	2020-07-09	2018-04-19
ENCSR479RZV	CBFB	ENCFF951CCL	2020-07-09	2018-04-19
ENCSR980EGJ	TP53	ENCFF701DTE	2020-07-08	2018-04-19
ENCSR849TMV	SIX4	ENCFF643LFY	2020-07-09	2018-04-17
ENCSR911MML	TCF3	ENCFF902EKZ	2020-06-30	2018-03-19
ENCSR321VGW	ELF1	ENCFF215GPK	2020-07-09	2018-03-19
ENCSR865RXA	FOXA1	ENCFF081USG	2020-07-09	2018-03-12
ENCSR800JRG	TEAD4	ENCFF355HRT	2020-07-09	2018-03-12
ENCSR580HOI	RELA	ENCFF089XCL	2020-07-09	2018-03-12
ENCSR481QLH	NR3C1	ENCFF514SEQ	2020-07-09	2018-03-12
ENCSR271XMW	EP300	ENCFF827LSX	2020-08-28	2018-03-12
ENCSR469GZL	LCOR	ENCFF453UVV	2020-07-09	2018-03-12
ENCSR711KBM	ZNF12	ENCFF409PJJ	2020-06-30	2018-03-08
ENCSR249EYB	FOSL2	ENCFF772SCR	2020-07-09	2018-03-08
ENCSR421DAO	ZBTB33	ENCFF260XMT	2020-07-09	2018-03-08
ENCSR416HDG	RXRA	ENCFF328SRN	2020-08-14	2018-03-08
ENCSR549PAU	ZBTB21	ENCFF819NNH	2020-07-09	2018-03-07
ENCSR180MUU	RREB1	ENCFF625WYP	2020-08-28	2018-03-07
ENCSR460YAM	SP1	ENCFF333SWC	2020-07-09	2018-03-07
ENCSR289PSX	PRDM10	ENCFF668GIP	2020-07-09	2018-03-06
ENCSR403MJY	ZNF281	ENCFF964FPZ	2020-07-09	2018-03-05
ENCSR658YLN	PATZ1	ENCFF174JHS	2020-07-09	2018-03-05
ENCSR118LGS	TSC22D2	ENCFF278CIM	2020-08-28	2018-03-05
ENCSR803IYP	ZBTB49	ENCFF906SCU	2020-07-09	2018-03-05
ENCSR369TCR	ZNF331	ENCFF623DVC	2020-07-09	2018-03-04
ENCSR551QJT	THRA	ENCFF737MXG	2020-07-09	2018-03-04
ENCSR367KYL	ZHX3	ENCFF438MZI	2020-07-09	2018-03-04
ENCSR354FPG	STAT5B	ENCFF370XOM	2020-07-09	2018-03-03
ENCSR700USV	LRRFIP1	ENCFF765MRZ	2020-07-09	2018-02-28
ENCSR843QIL	ATAD3A	ENCFF585SZT	2020-07-09	2018-02-23
ENCSR656SIB	ZBED5	ENCFF195YPT	2018-01-25	2017-12-19
ENCSR415AEB	ZNF48	ENCFF543CJD	2016-11-08	2017-01-26
ENCSR759BDG	BCL6	ENCFF422TZK	2016-11-08	2016-10-28
ENCSR715UCI	SOX13	ENCFF453YPR	2016-11-08	2016-10-28
